"DOW_down_UE_down","Freq","StatValue"
"HD_dailyChange","Median :   0.670  ",0.67
"XOM_dailyChange","Median :  0.5000  ",0.5
"TEVA_dailyChange","Median :  2.760  ",2.76
"FFIN_dailyChange","Median :  1.0133  ",1.0133
"GOOG_dailyChange","Median :  25.88  ",25.88
"COST_dailyChange","Median :   5.930  ",5.93
"AMZN_dailyChange","Median :   11.82  ",11.82
"ADDYY_dailyChange","Median :   0.950  ",0.95
"PCG_dailyChange","Median :  0.5500  ",0.55
"ROST_dailyChange","Median :  2.10500  ",2.105
"JNJ_dailyChange","Median :  2.6200  ",2.62
"NFLX_dailyChange","Median :   1.10714  ",1.10714
"DLTR_dailyChange","Median :  3.6000  ",3.6
"WMT_dailyChange","Median :  5.480  ",5.48
"AAP_dailyChange","Median :   2.260  ",2.26
"TJX_dailyChange","Median :  1.0200  ",1.02
"NKE_dailyChange","Median :  0.765  ",0.765
