"","avgStockValue","startValue","finalValue","DOW_ROI","stock_ROI","medn_cSum_decr_L7","Q3_cSum_decr_L7","max_cSum_decr_L7","medn_cSum_incr_L7","Q3_cSum_incr_L7","max_cSum_incr_L7","ROI_Low_High"
"AAP",97.31,35.58,133.59,2.36,3.75,3,9,44,3,7,30,"Low"
"ADDYY",58.44,25,156.11,2.36,6.24,5,10,35,3,8,25,"High"
"AMZN",550.53,38.7,2134.87,2.36,55.16,5,11,31,3,8,26,"High"
"COST",123.21,52.84,318.31,2.36,6.02,4,9,40,3,7,45,"High"
"DLTR",52.83,10.23,88.68,2.36,8.67,4,9,33,3,7,38,"High"
"FFIN",14.71,7,34.58,2.36,4.94,3,8,38,3,7,26,"Low"
"GOOG",558.98,232.92,1520.74,2.36,6.53,6.5,11,39,4,8,28,"High"
"HD",90.93,41.07,245.03,2.36,5.97,4,10,30,3,8,28,"Low"
"JNJ",91.07,66.4,150.13,2.36,2.26,4,8,36,3,7,33,"Low"
"NFLX",92.39,3.8,380.4,2.36,100.07,5.5,10,37,4,7.75,25,"High"
"NKE",39.66,12.21,103.54,2.36,8.48,4,9,40,3,7,22,"High"
"PCG",44.14,47.27,16.2,2.36,0.34,3,7,34,3,7,27,"Low"
"ROST",40.77,7.62,121.78,2.36,15.98,4,9,32,2,7,28,"High"
"TEVA",41.06,31.26,12.22,2.36,0.39,4,8,30,4,8,32,"Low"
"TJX",25.96,7.17,63.38,2.36,8.84,4,8,35,2,7,32,"High"
"WMT",69.78,47.55,117.89,2.36,2.48,4,8,33,3,7,31,"Low"
"XOM",81.42,74.11,60.65,2.36,0.82,3,8,49,3,7,28,"Low"
